,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
0,wii sports,Sports,E,Wii,Nintendo,7.7,8.310770234986945,82.86,2006.0
1,mario kart wii,Racing,E,Wii,Nintendo,8.2,9.1,37.14,2008.0
2,wii sports resort,Sports,E,Wii,Nintendo,8.0,8.8,33.09,2009.0
3,pokmon red,Role Playing,E,GB,Nintendo,9.4,8.310770234986945,31.38,1998.0
4,new super mario bros,Platform,E,DS,Nintendo,9.1,8.1,30.8,2006.0
5,tetris,Puzzle,E,GB,Nintendo,7.5,8.310770234986945,30.26,1989.0
6,new super mario bros wii,Platform,E,Wii,Nintendo,8.6,9.2,30.22,2009.0
7,wii play,Misc,E,Wii,Nintendo,5.9,4.5,28.02,2007.0
8,kinect adventures,Party,E,X360,Microsoft Game Studios,6.7,8.310770234986945,24.0,2010.0
9,nintendogs,Simulation,E,DS,Nintendo,8.4,8.310770234986945,23.96,2005.0
10,mario kart ds,Racing,E,DS,Nintendo,9.1,9.4,23.6,2005.0
11,pokmon gold,Role Playing,E,GB,Nintendo,9.2,8.310770234986945,23.1,2000.0
12,wii fit,Sports,E,Wii,Nintendo,7.9,8.310770234986945,22.67,2008.0
13,wii fit plus,Sports,E,Wii,Nintendo,8.0,8.310770234986945,21.13,2009.0
14,super mario world,Platform,E,SNES,Nintendo,8.5,8.310770234986945,20.61,1991.0
15,grand theft auto v,Action,M,PS3,Rockstar Games,9.4,9.0,12.6,2013.0
16,grand theft auto v,Action,M,PS4,Rockstar Games,9.7,9.0,12.6,2014.0
17,brain age train your brain in minutes a day,Misc,E,DS,Nintendo,8.1,8.310770234986945,19.01,2006.0
18,super mario land,Platform,E,GB,Nintendo,7.5,8.310770234986945,18.14,1989.0
19,mario kart 7,Racing,E,3DS,Nintendo,8.2,8.310770234986945,18.11,2011.0
20,pokmon diamond,Role Playing,E,DS,Nintendo,8.6,8.310770234986945,17.67,2007.0
21,grand theft auto san andreas,Action,M,PS2,Rockstar Games,9.5,8.310770234986945,17.3,2004.0
22,super mario bros 3,Platform,E,NES,Nintendo,9.5,8.310770234986945,17.28,1990.0
